trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
335,False,"{'a': 0.7153380863525599, 'e': 0.944410309632643}",25,11,-93.9447639585162,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 2}",1
336,False,"{'a': 0.7146231058160574, 'e': 0.9440810683124485}",25,0,-120.62611094680562,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
337,False,"{'a': 0.7139088399027201, 'e': 0.9437508829112643}",30,0,-198.41527384316296,"{0: 18, 1: 4, 2: 4, 3: 0, 4: 4}",0
338,False,"{'a': 0.7131952878982822, 'e': 0.9434197537592759}",20,1,-165.51198758139395,"{0: 12, 1: 1, 2: 1, 3: 2, 4: 3}",1
339,False,"{'a': 0.7124824490891918, 'e': 0.9430876811876123}",25,0,-28.209343693204886,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
340,False,"{'a': 0.7117703227626097, 'e': 0.9427546655283462}",30,0,-92.07089557098193,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
341,False,"{'a': 0.7110589082064097, 'e': 0.9424207071144931}",30,0,-90.23710964171592,"{0: 20, 1: 3, 2: 6, 3: 0, 4: 1}",0
342,False,"{'a': 0.7103482047091773, 'e': 0.9420858062800114}",20,0,-107.85566278099645,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
343,False,"{'a': 0.7096382115602087, 'e': 0.941749963359802}",20,0,-85.2685140325798,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",0
344,False,"{'a': 0.7089289280495108, 'e': 0.9414131786897075}",20,0,-43.57818990691306,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
345,False,"{'a': 0.7082203534678, 'e': 0.941075452606513}",25,0,-85.01794080978236,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
346,False,"{'a': 0.7075124871065017, 'e': 0.9407367854479443}",20,0,-114.45234563767713,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
